"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Aristaeopsis edwardsiana";"Aristaeopsis edwardsiana";"240796";240796;"Aristaeopsis";"Aristeidae";"Decapoda";"Malacostraca";"Arthropoda"
"Bathynectes maravigna";"Bathynectes maravigna";"107377";107377;"Bathynectes";"Polybiidae";"Decapoda";"Malacostraca";"Arthropoda"
"Pheronema carpenteri";"Pheronema carpenteri";"134378";134378;"Pheronema";"Pheronematidae";"Amphidiscosida";"Hexactinellida";"Porifera"
"Zoroaster fulgens";"Zoroaster fulgens";"123826";123826;"Zoroaster";"Zoroasteridae";"Forcipulatida";"Asteroidea";"Echinodermata"
"Molpadiodemas villosus";"Molpadiodemas villosus";"529559";529559;"Molpadiodemas";"Molpadiodemidae";"Persiculida";"Holothuroidea";"Echinodermata"
"Pseudarchaster gracilis";"Pseudarchaster gracilis";"178133";178133;"Pseudarchaster";"Pseudarchasteridae";"Paxillosida";"Asteroidea";"Echinodermata"
"Halecium halecinum";"Halecium halecinum";"231751";231751;"Halecium";"Haleciidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Filograna implexa";"Filograna implexa";"130989";130989;"Filograna";"Serpulidae";"Sabellida";"Polychaeta";"Annelida"
"Pagurus forbesii";"Pagurus forbesii";"107237";107237;"Pagurus";"Paguridae";"Decapoda";"Malacostraca";"Arthropoda"
"Aphroditidae";"Aphroditidae";"938";938;NA;"Aphroditidae";"Phyllodocida";"Polychaeta";"Annelida"
"Stylasteridae";"Stylasteridae";"22805";22805;NA;"Stylasteridae";"Anthoathecata";"Hydrozoa";"Cnidaria"
"Ebalia tuberosa";"Ebalia tuberosa";"107301";107301;"Ebalia";"Leucosiidae";"Decapoda";"Malacostraca";"Arthropoda"
"Pteraster pulvillus";"Pteraster pulvillus";"124151";124151;"Pteraster";"Pterasteridae";"Velatida";"Asteroidea";"Echinodermata"
"Anomiidae";"Anomiidae";"214";214;NA;"Anomiidae";"Pectinida";"Bivalvia";"Mollusca"
"Schizotricha frutescens";"Schizotricha frutescens";"117636";117636;"Schizotricha";"Schizotrichidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Sabellidae";"Sabellidae";"985";985;NA;"Sabellidae";"Sabellida";"Polychaeta";"Annelida"
"Phakellia ventilabrum";"Phakellia ventilabrum";"132511";132511;"Phakellia";"Bubaridae";"Bubarida";"Demospongiae";"Porifera"
"Venus casina";"Venus casina";"141934";141934;"Venus";"Veneridae";"Venerida";"Bivalvia";"Mollusca"
"Parapenaeus longirostris";"Parapenaeus longirostris";"107109";107109;"Parapenaeus";"Penaeidae";"Decapoda";"Malacostraca";"Arthropoda"
"Dendronotus frondosus";"Dendronotus frondosus";"139523";139523;"Dendronotus";"Dendronotidae";"Nudibranchia";"Gastropoda";"Mollusca"
"Brachyura";"Brachyura";"106673";106673;NA;NA;"Decapoda";"Malacostraca";"Arthropoda"
"Urticina eques";"Urticina eques";"100833";100833;"Urticina";"Actiniidae";"Actiniaria";"Anthozoa";"Cnidaria"
"Aeolidiella";"Aeolidiella";"137631";137631;"Aeolidiella";"Aeolidiidae";"Nudibranchia";"Gastropoda";"Mollusca"
"Processa nouveli holthuisi";"Processa nouveli holthuisi";"108344";108344;"Processa";"Processidae";"Decapoda";"Malacostraca";"Arthropoda"
"Hyas coarctatus";"Hyas coarctatus";"107323";107323;"Hyas";"Oregoniidae";"Decapoda";"Malacostraca";"Arthropoda"
"Calocaris macandreae";"Calocaris macandreae";"107726";107726;"Calocaris";"Axiidae";"Decapoda";"Malacostraca";"Arthropoda"
"Flustra foliacea";"Flustra foliacea";"111367";111367;"Flustra";"Flustridae";"Cheilostomatida";"Gymnolaemata";"Bryozoa"
"Diopatra neapolitana";"Diopatra neapolitana";"130460";130460;"Diopatra";"Onuphidae";"Eunicida";"Polychaeta";"Annelida"
"Euspira fusca";"Euspira fusca";"140529";140529;"Euspira";"Naticidae";"Littorinimorpha";"Gastropoda";"Mollusca"
"Sertulariidae";"Sertulariidae";"1614";1614;NA;"Sertulariidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Ascidiella scabra";"Ascidiella scabra";"103719";103719;"Ascidiella";"Ascidiidae";"Phlebobranchia";"Ascidiacea";"Chordata"
"Pandalidae";"Pandalidae";"106789";106789;NA;"Pandalidae";"Decapoda";"Malacostraca";"Arthropoda"
"Ascidia virginea";"Ascidia virginea";"103717";103717;"Ascidia";"Ascidiidae";"Phlebobranchia";"Ascidiacea";"Chordata"
"Inachus";"Inachus";"106905";106905;"Inachus";"Inachidae";"Decapoda";"Malacostraca";"Arthropoda"
"Ophiacantha brevispina";"Ophiacantha brevispina";"124979";124979;"Ophiacantha";"Ophiacanthidae";"Ophiacanthida";"Ophiuroidea";"Echinodermata"
